732 Actor6 <= Actor6 [label="Remind"];
733 Actor6 => Actor30 [label="Rumor"];
734 Actor6 => Actor6 [label="Remind"];
735 Actor6 <= Actor6 [label="Remind"];
736 Actor6 => Actor50 [label="Rumor"];
737 Actor6 => Actor6 [label="Remind"];
738 Actor6 <= Actor6 [label="Remind"];
739 Actor6 => Actor50 [label="Rumor"];
740 Actor6 => Actor6 [label="Remind"];
741 Actor6 <= Actor6 [label="Remind"];
742 Actor6 => Actor31 [label="Rumor"];
743 Actor6 => Actor6 [label="Remind"];
744 Actor6 <= Actor6 [label="Remind"];
745 Actor6 => Actor77 [label="Rumor"];
746 Actor6 => Actor6 [label="Remind"];
747 Actor6 <= Actor6 [label="Remind"];
748 Actor6 => Actor30 [label="Rumor"];
749 Actor6 => Actor6 [label="Remind"];
750 Actor6 <= Actor6 [label="Remind"];
751 Actor6 => Actor31 [label="Rumor"];
752 Actor6 => Actor6 [label="Remind"];
753 Actor6 <= Actor6 [label="Remind"];
754 Actor6 => Actor95 [label="Rumor"];
755 Actor6 => Actor6 [label="Remind"];
756 Actor6 <= Actor6 [label="Remind"];
757 Actor6 => Actor19 [label="Rumor"];
758 Actor6 => Actor6 [label="Remind"];
759 Actor6 <= Actor6 [label="Remind"];
760 Actor6 => Actor48 [label="Rumor"];
761 Actor6 => Actor6 [label="Remind"];
762 Actor6 <= Actor6 [label="Remind"];
763 Actor6 => Actor44 [label="Rumor"];
764 Actor6 => Actor6 [label="Remind"];
765 Actor6 <= Actor6 [label="Remind"];
766 Actor6 => Actor77 [label="Rumor"];
767 Actor6 => Actor6 [label="Remind"];
768 Actor6 <= Actor6 [label="Remind"];
769 Actor6 => Actor9 [label="Rumor"];
770 Actor6 => Actor6 [label="Remind"];
771 Actor6 <= Actor6 [label="Remind"];
772 Actor6 => Actor29 [label="Rumor"];
773 Actor6 => Actor6 [label="Remind"];
774 Actor6 <= Actor6 [label="Remind"];
775 Actor6 => Actor40 [label="Rumor"];
776 Actor6 => Actor6 [label="Remind"];
777 Actor6 <= Actor6 [label="Remind"];
778 Actor6 => Actor30 [label="Rumor"];
779 Actor6 => Actor6 [label="Remind"];
780 Actor6 <= Actor6 [label="Remind"];
781 Actor6 => Actor60 [label="Rumor"];
782 Actor6 => Actor6 [label="Remind"];
783 Actor6 <= Actor6 [label="Remind"];
784 Actor6 => Actor9 [label="Rumor"];
785 Actor6 => Actor6 [label="Remind"];
786 Actor6 <= Actor6 [label="Remind"];
787 Actor6 => Actor23 [label="Rumor"];
788 Actor6 => Actor6 [label="Remind"];
789 Actor6 <= Actor6 [label="Remind"];
790 Actor6 => Actor3 [label="Rumor"];
791 Actor6 => Actor6 [label="Remind"];
792 Actor6 <= Actor6 [label="Remind"];
793 Actor6 => Actor80 [label="Rumor"];
794 Actor6 => Actor6 [label="Remind"];
795 Actor6 <= Actor6 [label="Remind"];
796 Actor6 => Actor22 [label="Rumor"];
797 Actor6 => Actor6 [label="Remind"];
798 Actor6 <= Actor6 [label="Remind"];
799 Actor6 => Actor22 [label="Rumor"];
800 Actor6 => Actor6 [label="Remind"];
801 Actor6 <= Actor6 [label="Remind"];
802 Actor6 => Actor68 [label="Rumor"];
